Timestamp (microseconds),Pos X (m),Pos Y (m),Pos Z (m),Seconds
1658790041438878,0.8696116578927287,-0.25891508354314485,0.3031662470435643,12.649541139602661
1658790041454870,0.8751964599069197,-0.25519188220035094,0.29675745784695184,12.665533065795898
1658790041470862,0.8824597543297477,-0.26236362249179823,0.32404058899824495,12.681524991989136
1658790041486853,0.8937514305333032,-0.2556801709010452,0.33585107194628794,12.697515964508057
1658790041502845,0.9033646143282219,-0.2372777904936294,0.31769283588921926,12.713508129119873
1658790041518837,0.9035477225909823,-0.23877317463950565,0.2947737850003813,12.72950005531311
1658790041534828,0.8984512092774857,-0.25214007782101167,0.2846723125047683,12.745491027832031
1658790041550820,0.8958571755550473,-0.2634012359807736,0.3010299839780268,12.761483192443848
1658790041566812,0.8927748531319146,-0.26849774929427017,0.31934081025406247,12.777475118637085
1658790041582794,0.8910048065918978,-0.25720607309071486,0.3002059967956052,12.79345703125
1658790041598786,0.8976272220950641,-0.2406042572671092,0.2590676737621118,12.809449195861816
1658790041614777,0.9096818493934542,-0.24097047379262992,0.24557869840543223,12.825440168380737
1658790041630769,0.9184405279621579,-0.25729762722209504,0.2713969634546425,12.841432094573975
1658790041646761,0.9200579842832077,-0.26770428015564196,0.28421454184786743,12.857424020767212
1658790041662752,0.9198138399328606,-0.27066453040360106,0.26321812771801323,12.873414993286133
1658790041678744,0.9237201495384149,-0.2741741054398412,0.24335088120851456,12.88940715789795
1658790041694736,0.9301289387350273,-0.2738078889143205,0.23617914091706727,12.905399084091187
1658790041710727,0.9322957198443582,-0.2709086747539482,0.23715571831845583,12.921390056610107
1658790041726719,0.9285420004577709,-0.2653238727397573,0.23202868696116585,12.937381982803345
1658790041742711,0.9245136186770431,-0.2570534828717479,0.20965896086060898,12.953374147415161
1658790041758702,0.9254901960784316,-0.252475776302739,0.1877164873731596,12.969365119934082
1658790041774694,0.9315327687495234,-0.25644312199588004,0.18106355382619999,12.98535704612732
