Timestamp (microseconds),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Seconds
1658790155842240,0.4364080262455179,1.07533379110399,-0.14856183718623628,39.823472023010254
1658790155858240,0.4250553139543758,0.9781033035782407,-0.15484855420767518,39.8394718170166
1658790155874240,0.4148622873273826,0.9715114061188679,-0.16498054474708157,39.85547184944153
1658790155890239,0.4187075608453501,1.1062180514229039,-0.20184634164950022,39.87147092819214
1658790155906239,0.4116884107728698,1.155535210193027,-0.22882429236285962,39.887470960617065
1658790155922239,0.3942931258106359,1.0639200427252615,-0.21069657434958433,39.90347099304199
1658790155938239,0.39575799191271877,1.004776073853666,-0.18109407186999316,39.91947102546692
1658790155954239,0.39380483710994163,1.0657511253528646,-0.17511253528648796,39.93547081947327
1658790155970238,0.37964446478980696,1.1226977950713355,-0.19116502632181276,39.95146989822388
1658790155986238,0.36487373159380443,1.0670328831921871,-0.1910429541466392,39.967469930648804
1658790156002238,0.36951247425040057,1.0110627908751049,-0.17431906614785975,39.98346996307373
1658790156018249,0.3851987487602049,1.0412146181429769,-0.16180666819256873,39.999480962753296
1658790156034249,0.38452735179675024,1.0704509040970471,-0.15008773937590592,40.01548099517822
1658790156050249,0.36578927290760666,1.049149309529259,-0.13818570229648275,40.03148102760315
1658790156066249,0.3491264209964138,0.991103990234226,-0.12890821698329136,40.0474808216095
1658790156082248,0.34168001831082595,0.9580834668497751,-0.1362325474937056,40.06347990036011
1658790156098248,0.3300831616693367,0.9823758297093157,-0.162294956893263,40.079479932785034
1658790156114248,0.31683833066300426,0.9848783093003739,-0.18103303578240615,40.09547996520996
1658790156130248,0.3125047684443425,0.9532005798428322,-0.1803616388189515,40.11147999763489
1658790156146247,0.3251392385748071,0.9249408712901506,-0.16137941557946123,40.12747883796692
1658790156162247,0.3419241626611731,0.9175555046921495,-0.14618142977035165,40.143478870391846
1658790156178247,0.35254444190127376,0.9417257953765166,-0.148073548485542,40.15947890281677
1658790156194247,0.3585870145723655,0.9545433737697415,-0.15991454947737838,40.1754789352417
1658790156210247,0.3565117875944148,0.9348897535667966,-0.16925307087815655,40.191478967666626
1658790156226246,0.3582818341344316,0.9383077744716566,-0.16491950865949478,40.207478046417236
1658790156242246,0.3599298084992748,0.9485618371862365,-0.16583504997329657,40.223477840423584
1658790156258246,0.3515068284122984,0.9127946898603803,-0.17645532921339724,40.23947787284851
1658790156274246,0.3385671778438999,0.8603646906233311,-0.19037155718318455,40.25547790527344
1658790156290246,0.3347829404135192,0.8663462272068361,-0.19757381551842546,40.271477937698364
1658790156306245,0.34161898222323916,0.9456931410696576,-0.205386434729534,40.287477016448975
1658790156322245,0.34467078660257844,0.9744411383230336,-0.2095368886854354,40.30347681045532
